Rank,Guild Name,Realm,Raids Week,Language,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Dead,Link
33,this is fine,EU-Tarren Mill,2,English,False,False,False,False,False,True,True,False,https://www.wowprogress.com/guild/eu/tarren-mill/this+is+fine
90,Arctic Avengers,EU-Kazzak,2,English,False,True,False,False,False,False,True,False,https://www.wowprogress.com/guild/eu/kazzak/Arctic+Avengers
94,Mental Apocalypse,EU-Ragnaros,2,English,True,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/ragnaros/Mental+Apocalypse
126,Dedicated Casuals,EU (DE)-Eredar,2,German,False,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/eredar/Dedicated+Casuals
127,Pescorus,EU-Kazzak,2,English,False,False,False,False,False,False,False,True,https://www.wowprogress.com/guild/eu/kazzak/Pescorus
130,Who Asked,EU-Draenor,2,English,False,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/draenor/Who+Asked
144,Noctis,EU-Kazzak,2,English,False,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/kazzak/Noctis
188,Unhinged,EU-Tarren Mill,2,English,True,False,True,False,False,False,False,False,https://www.wowprogress.com/guild/eu/tarren-mill/Unhinged
203,Divinum,EU (DE)-Gul'dan,2,German,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/gul-dan/Divinum
205,Mentioned,EU-Tarren Mill,2,English,False,True,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/tarren-mill/Mentioned
207,Ascendance,EU-Draenor,2,English,True,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/draenor/Ascendance
212,Unluck,EU (DE)-Blackrock,2,German,False,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/blackrock/Unluck
222,Competence Optional,EU-Twisting Nether,2,English,True,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/twisting-nether/Competence+Optional
223,Deposit Coin,EU-Stormscale,2,English,True,False,True,False,False,False,False,False,https://www.wowprogress.com/guild/eu/stormscale/Deposit+Coin
234,Best in Slot,EU-Kazzak,2,English,False,True,False,False,False,False,True,False,https://www.wowprogress.com/guild/eu/kazzak/Best+in+Slot
240,Cursed Gifts,EU-Tarren Mill,2,English,True,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/tarren-mill/Cursed+Gifts
269,Retreat,EU (DE)-Blackhand,2,German,True,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/blackhand/Retreat
275,Mayhem,EU-Ragnaros,2,English,False,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/ragnaros/Mayhem
292,No Shame,EU-Kazzak,2,English,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/kazzak/No+Shame
300,Equity,EU-Draenor,2,English,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/draenor/Equity
314,Arise,EU-Kazzak,2,English,False,False,False,False,False,False,False,True,https://www.wowprogress.com/guild/eu/kazzak/Arise
324,Zwei Kölsch bitte,EU (DE)-Eredar,2,German,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/eredar/Zwei+K%C3%B6lsch+bitte
324,Gravity,EU (DE)-Blackhand,2,German,False,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/blackhand/Gravity
328,Average Pillagers,EU-Azjol-Nerub,2,English,False,True,False,True,False,False,False,False,https://www.wowprogress.com/guild/eu/azjol-nerub/Average+Pillagers
340,W a s h e d,EU-Twisting Nether,2,English,False,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/twisting-nether/W+a+s+h+e+d
341,Rhythm,EU-Draenor,2,English,False,True,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/draenor/Rhythm
367,Epos,EU (DE)-Blackhand,2,German,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/blackhand/Epos
380,Mercy Killers,EU-Sylvanas,2,English,False,False,False,True,False,False,True,False,https://www.wowprogress.com/guild/eu/sylvanas/Mercy+Killers
391,Drama,EU-Tarren Mill,2,English,False,True,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/tarren-mill/Drama
399,Foundation,EU-Magtheridon,2,English,False,False,True,True,False,False,True,False,https://www.wowprogress.com/guild/eu/magtheridon/Foundation
402,Wild Things,EU (DE)-Blackhand,2,German,True,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/blackhand/Wild+Things
403,Interstellar Bum O..,EU-Ragnaros,2,English,True,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/ragnaros/Interstellar+Bum+Orcs
404,Keine Ahnung,EU (DE)-Blackmoore,2,German,True,False,True,False,False,False,False,False,https://www.wowprogress.com/guild/eu/blackmoore/Keine+Ahnung
405,Low Expectations,EU-Ragnaros,2,English,True,False,True,False,False,False,True,False,https://www.wowprogress.com/guild/eu/ragnaros/Low+Expectations
407,The Ministry,EU-Ragnaros,2,English,False,False,True,True,False,False,False,False,https://www.wowprogress.com/guild/eu/ragnaros/The+Ministry
408,Wipe it Out,EU (DE)-Thrall,2,German,False,False,False,False,False,False,False,True,https://www.wowprogress.com/guild/eu/thrall/Wipe+it+Out
