Rank,Guild Name,Realm,Raids Week,Language,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Link
95,Dedicated Casuals,EU (DE)-Eredar,2,German,False,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/eredar/Dedicated+Casuals
108,Turtles,EU-Tarren Mill,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/tarren-mill/Turtles
112,Arctic Avengers,EU-Kazzak,2,English,False,True,False,False,False,False,True,https://www.wowprogress.com/guild/eu/kazzak/Arctic+Avengers
112,Who Asked,EU-Draenor,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/draenor/Who+Asked
118,Versatile,EU-Silvermoon,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/silvermoon/Versatile
136,Easy Katka,EU (DE)-Blackhand,2,German,True,True,False,True,False,False,False,https://www.wowprogress.com/guild/eu/blackhand/Easy+Katka
142,Pescorus,EU-Kazzak,2,English,True,False,False,True,False,False,False,https://www.wowprogress.com/guild/eu/kazzak/Pescorus
157,this is fine,EU-Tarren Mill,2,English,False,False,False,False,False,True,True,https://www.wowprogress.com/guild/eu/tarren-mill/this+is+fine
160,Mental Apocalypse,EU-Ragnaros,2,English,True,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/ragnaros/Mental+Apocalypse
164,Divinum,EU (DE)-Gul'dan,2,German,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/gul-dan/Divinum
181,Epoch,EU-Argent Dawn,1,English,False,False,False,False,False,False,True,https://www.wowprogress.com/guild/eu/argent-dawn/Epoch
187,Coinflip,EU-Twisting Nether,2,English,False,False,True,True,False,False,True,https://www.wowprogress.com/guild/eu/twisting-nether/Coinflip
188,Competence Optional,EU-Twisting Nether,2,English,True,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/twisting-nether/Competence+Optional
200,Ascendance,EU-Draenor,2,English,True,False,False,True,False,False,True,https://www.wowprogress.com/guild/eu/draenor/Ascendance
203,Persistence,EU-Tarren Mill,2,English,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/tarren-mill/Persistence
228,Cursed Gifts,EU-Tarren Mill,2,English,True,False,True,True,False,False,False,https://www.wowprogress.com/guild/eu/tarren-mill/Cursed+Gifts
236,LOGIN,EU-Tarren Mill,2,English,True,False,True,True,False,False,False,https://www.wowprogress.com/guild/eu/tarren-mill/LOGIN
256,Unluck,EU (DE)-Blackrock,2,German,False,False,True,False,False,False,True,https://www.wowprogress.com/guild/eu/blackrock/Unluck
